COURSE,NAME,DANISH_NAME,LANGUAGE,ECTS_POINTS,COURSE_TYPE,EXAM_TYPE,TIME_OF_WEEK,COURSE_DURATION,EXAM_AID,EXAMINER,ASSIGNMENTS,GRADE_TYPE,CAMPUS,SEMESTER_PERIOD,MAIN_RESPONSIBLE_NAME,CO_RESPONSIBLE_1_NAME,CO_RESPONSIBLE_2_NAME,CO_RESPONSIBLE_3_NAME,CO_RESPONSIBLE_4_NAME,STUDY_LINES,AVERAGE_GRADE,PERCENT_PASSED,TOTAL_STUDENTS,WORKLOAD_AVERAGE_SCORE,LEARNING_AVERAGE_SCORE,MOTIVATION_AVERAGE_SCORE,FEEDBACK_AVERAGE_SCORE
10413,Defects in solids,Defekter i faste stoffer,English,5.0,MSc,Oral exam,['3-week June'],DURATION_3_WEEKS,All aid,EXAMINER_INTERNAL,Mandatory exercises,SEVEN_STEP_SCALE,No data available,June,Mayank Jain,Alexander Huck,Jan-Pieter Oswald Carolus Buylaert,Arghya Bhowmik,NO_DATA,['Not linked to any study lines'],No data,No data,0,3.0,4.0,3.0,4.0
10420,Physics of Sports,Sportsfysik,English,5.0,BSc,Written exam,['3-week June'],DURATION_3_WEEKS,No computers,EXAMINER_INTERNAL,No mandatory assignments,SEVEN_STEP_SCALE,CAMPUS_LYNGBY,June,Mirko Salewski,NO_DATA,NO_DATA,NO_DATA,NO_DATA,"['MSc, Engineering Physics']",8.9,86.2,58,3.07,4.27,4.61,3.97
10506,Journal club on nanostructures and reactivity,Journal club om nanostrukturer og reaktivitet,English,5.0,Ph.D.,Report hand-in,"['F4B (Spring, Fri 8-12)', 'E4B (Autumn, Fri 8-12)']",DURATION_26_WEEKS,No computers,EXAMINER_INTERNAL,Mandatory reports,PASS_OR_FAIL,CAMPUS_LYNGBY,Spring + Autumn,Ib Chorkendorff,NO_DATA,NO_DATA,NO_DATA,NO_DATA,['Not linked to any study lines'],Pass/Fail,100.0,25,3.0,4.33,3.83,4.17
10507,Surface Physics and Catalysis,Overfladefysik og katalyse,English,10.0,Ph.D.,Report hand-in,"['F3A (Spring, Tues 8-12)', 'F3B (Spring, Fri 13-17)']",DURATION_13_WEEKS,Unknown data value,EXAMINER_INTERNAL,Mandatory reports,PASS_OR_FAIL,CAMPUS_LYNGBY,Spring,Ib Chorkendorff,Jakob Doganli-Kibsgaard,NO_DATA,NO_DATA,NO_DATA,['Not linked to any study lines'],Pass/Fail,93.2,44,3.4,4.44,4.24,3.59
10508,Electronic structure journal club,Journal club om elektronstruktur,English,5.0,Ph.D.,Report hand-in,"['F1B (Spring, Thurs 13-17)', 'E1B (Autumn, Thurs 13-17)']",DURATION_UNIQUE,Unknown data value,EXAMINER_INTERNAL,Mandatory reports,PASS_OR_FAIL,CAMPUS_LYNGBY,Spring + Autumn,Jakob Schiøtz,NO_DATA,NO_DATA,NO_DATA,NO_DATA,['Not linked to any study lines'],Pass/Fail,100.0,4,3.0,3.0,3.0,3.0
10509,Journal club on atomic structures and dynamics studied by electron beams,Journal club om atomare strukturer og dynamik studeret med elektronstråler,English,5.0,Ph.D.,Report hand-in,"['F4B (Spring, Fri 8-12)', 'E4B (Autumn, Fri 8-12)']",DURATION_26_WEEKS,Unknown data value,EXAMINER_INTERNAL,Mandatory reports,PASS_OR_FAIL,CAMPUS_LYNGBY,Spring + Autumn,Stig Helveg,Christian Danvad Damsgaard,Jörg Ralf Jinschek,NO_DATA,NO_DATA,['Not linked to any study lines'],No data,No data,0,5.0,5.0,5.0,5.0
10511,Physics PhD bootcamp and network,Fysik ph.d.-bootcamp og netværk,English,5.0,Ph.D.,Oral exam,['Unspecified'],DURATION_UNIQUE,No computers,EXAMINER_INTERNAL,No mandatory assignments,PASS_OR_FAIL,CAMPUS_LYNGBY,Unspecified,Peter Christian Kjærgaard Vesborg,Susan Louise Svane Stipp,Georg Kastlunger,NO_DATA,NO_DATA,['Not linked to any study lines'],Pass/Fail,100.0,22,No data,No data,No data,No data
10512,Journal club in Quantum Optics,Journal club om Kvanteoptik,English,7.5,Ph.D.,Report hand-in,"['F3B (Spring, Fri 13-17)', 'E3B (Autumn, Fri 13-17)']",DURATION_UNIQUE,No computers,EXAMINER_INTERNAL,Mandatory reports,PASS_OR_FAIL,CAMPUS_LYNGBY,Spring + Autumn,Alexander Huck,Jonas Schou Neergaard-Nielsen,NO_DATA,NO_DATA,NO_DATA,['Not linked to any study lines'],Pass/Fail,100.0,18,3.0,4.0,4.0,4.0
10514,Summer School Complex Motion in Fluids,Sommerskole Complex Motion in Fluids,English,2.5,Ph.D.,Report hand-in,['Unspecified'],DURATION_UNIQUE,Unknown data value,EXAMINER_INTERNAL,Mandatory reports,PASS_OR_FAIL,No data available,Unspecified,Henrik Bruus,Kaare Hartvig Jensen,NO_DATA,NO_DATA,NO_DATA,['Not linked to any study lines'],Pass/Fail,100.0,4,No data,No data,No data,No data
10515,FLUIDS Journal Club,FLUIDS Journal Club,English,5.0,Ph.D.,Report hand-in,"['F3B (Spring, Fri 13-17)', 'E3B (Autumn, Fri 13-17)']",DURATION_26_WEEKS,Unknown data value,EXAMINER_INTERNAL,Mandatory reports,PASS_OR_FAIL,CAMPUS_LYNGBY,Spring + Autumn,Henrik Bruus,Kaare Hartvig Jensen,NO_DATA,NO_DATA,NO_DATA,['Not linked to any study lines'],No data,No data,0,No data,No data,No data,No data
