COURSE,F25_GRADE_12,F25_GRADE_10,F25_GRADE_7,F25_GRADE_4,F25_GRADE_02,F25_GRADE_00,F25_GRADE_MINUS_3,F25_PASSED,F25_FAILED,F25_ABSENT
26050,1,1,2,1,0,0,0,No data,No data,1
26124,5,6,6,3,5,8,2,No data,No data,5
26125,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
26127,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
26130,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
26134,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
26171,0,1,1,1,3,3,1,No data,No data,2
26173,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
26174,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
26200,0,3,1,2,1,5,0,No data,No data,No data
26211,5,18,33,16,11,16,1,No data,No data,6
26220,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
26225,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
26231,1,2,5,3,1,1,2,No data,No data,1
26236,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
26245,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
26255,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
26261,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
26263,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
26271,1,13,32,15,0,10,0,No data,No data,6
26280,3,4,3,0,0,0,0,No data,No data,1
26290,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
26300,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
26317,14,11,6,5,2,1,0,No data,No data,5
26371,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
26374,No data,No data,No data,No data,No data,No data,No data,42,0,3
26400,42,33,39,19,17,26,18,No data,No data,11
26407,No data,No data,No data,No data,No data,No data,No data,9,0,No data
26411,1,1,3,0,2,0,0,No data,No data,1
26416,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
26422,1,0,2,1,0,0,0,No data,No data,No data
26426,9,14,29,16,10,10,1,No data,No data,5
26428,9,6,7,9,5,8,2,No data,No data,4
26433,1,2,0,3,1,2,0,No data,No data,No data
26436,0,0,1,3,0,0,0,No data,No data,2
26438,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
26444,1,2,1,0,4,11,2,No data,No data,1
26446,2,5,6,7,6,5,0,No data,No data,No data
26455,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
26471,2,3,13,5,8,20,4,No data,No data,9
26474,No data,No data,No data,No data,No data,No data,No data,6,0,No data
26510,1,6,2,1,0,0,0,No data,No data,No data
26620,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
26800,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
26805,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
26820,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
26840,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
26920,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
26932,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
26933,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
26944,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
26960,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
26970,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
26991,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
27002,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
27003,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
27016,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
27020,53,114,101,86,112,39,0,No data,No data,21
27022,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
27023,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
27026,0,0,2,4,1,3,0,No data,No data,2
27027,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
27034,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
27035,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
27051,18,13,16,4,11,3,0,No data,No data,6
27062,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
27070,25,70,45,3,0,0,0,No data,No data,10
27075,31,11,7,4,0,1,0,No data,No data,No data
27101,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
27220,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
27230,4,2,1,3,3,2,0,No data,No data,No data
27246,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
27247,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
27255,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
27325,1,9,12,1,0,0,0,No data,No data,2
27330,4,2,10,5,4,1,0,No data,No data,2
27419,54,27,19,4,1,1,0,No data,No data,5
27422,37,24,14,5,0,1,0,No data,No data,3
27423,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
27430,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
27432,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
27455,3,9,23,14,8,1,2,No data,No data,3
27460,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
27470,21,23,26,10,0,0,0,No data,No data,No data
27472,6,6,1,0,0,0,0,No data,No data,No data
27510,6,7,30,9,3,0,0,No data,No data,No data
27665,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
27666,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
27800,No data,No data,No data,No data,No data,No data,No data,15,0,1
27802,No data,No data,No data,No data,No data,No data,No data,8,0,1
27803,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
27804,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
27805,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
27820,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
27823,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
27828,24,0,0,0,0,0,0,No data,No data,1
27832,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
27833,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
27838,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
27839,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
27840,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
27845,No data,No data,No data,No data,No data,No data,No data,4,0,1
28010,13,21,12,4,0,0,0,No data,No data,No data
28012,1,0,9,5,1,1,4,No data,No data,No data
28016,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
28020,13,10,13,7,11,0,8,No data,No data,3
28021,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
28022,0,1,1,2,1,0,0,No data,No data,No data
28025,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
28121,4,8,4,1,0,0,0,No data,No data,No data
28123,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
28125,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
28140,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
28150,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
28157,3,20,17,0,0,0,0,No data,No data,No data
28160,14,4,9,8,3,2,0,No data,No data,2
28165,2,2,1,0,0,0,1,No data,No data,No data
28212,4,8,10,4,2,6,2,No data,No data,6
28213,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
28214,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
28216,0,2,3,1,0,0,0,No data,No data,No data
28217,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
28221,9,10,2,0,0,0,0,No data,No data,No data
28233,1,2,3,0,0,3,0,No data,No data,No data
28242,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
28244,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
28271,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
